DEPT_ID,MUNI_ID,ENAB_PROCEDENCIA,V6
68,1,SANTANDER,BUCARAMANGA
11,1,"BOGOTÁ, D. C.","BOGOTÁ, D.C."
15,1,BOYACÁ,TUNJA
8,560,ATLÁNTICO,PONEDERA
47,189,MAGDALENA,CIÉNAGA
25,35,CUNDINAMARCA,ANAPOIMA
5,686,ANTIOQUIA,SANTA ROSA DE OSOS
23,1,CÓRDOBA,MONTERÍA
54,498,NORTE DE SANTANDER,OCAÑA
47,745,MAGDALENA,SITIONUEVO
25,473,CUNDINAMARCA,MOSQUERA
25,214,CUNDINAMARCA,COTA
25,799,CUNDINAMARCA,TENJO
25,845,CUNDINAMARCA,UNE
25,181,CUNDINAMARCA,CHOACHÍ
25,178,CUNDINAMARCA,CHIPAQUE
25,269,CUNDINAMARCA,FACATATIVÁ
25,740,CUNDINAMARCA,SIBATÉ
15,47,BOYACÁ,AQUITANIA
25,151,CUNDINAMARCA,CÁQUEZA
25,286,CUNDINAMARCA,FUNZA
25,99,CUNDINAMARCA,BOJACÁ
76,400,VALLE DEL CAUCA,LA UNIÓN
25,430,CUNDINAMARCA,MADRID
50,251,META,EL CASTILLO
50,313,META,GRANADA
50,400,META,LEJANÍAS
50,573,META,PUERTO LÓPEZ
68,406,SANTANDER,LEBRIJA
41,396,HUILA,LA PLATA
25,260,CUNDINAMARCA,EL ROSAL
25,743,CUNDINAMARCA,SILVANIA
n.a.,n.a.,OTRO,ECUADOR
25,513,CUNDINAMARCA,PACHO
73,268,TOLIMA,ESPINAL
25,245,CUNDINAMARCA,EL COLEGIO
25,281,CUNDINAMARCA,FOSCA
25,898,CUNDINAMARCA,ZIPACÓN
25,312,CUNDINAMARCA,GRANADA
25,754,CUNDINAMARCA,SOACHA
52,356,NARIÑO,IPIALES
25,594,CUNDINAMARCA,QUETAME
25,535,CUNDINAMARCA,PASCA
25,899,CUNDINAMARCA,ZIPAQUIRÁ
15,176,BOYACÁ,CHIQUINQUIRÁ
68,307,SANTANDER,GIRÓN
68,547,SANTANDER,PIEDECUESTA
41,78,HUILA,BARAYA
81,1,ARAUCA,ARAUCA
54,743,NORTE DE SANTANDER,SILOS
63,594,QUINDÍO,QUIMBAYA
63,470,QUINDÍO,MONTENEGRO
63,401,QUINDÍO,LA TEBAIDA
76,736,VALLE DEL CAUCA,SEVILLA
76,20,VALLE DEL CAUCA,ALCALÁ
63,1,QUINDÍO,ARMENIA
63,130,QUINDÍO,CALARCÁ
63,212,QUINDÍO,CÓRDOBA
76,122,VALLE DEL CAUCA,CAICEDONIA
63,111,QUINDÍO,BUENAVISTA
63,690,QUINDÍO,SALENTO
66,1,RISARALDA,PEREIRA
63,302,QUINDÍO,GÉNOVA
76,520,VALLE DEL CAUCA,PALMIRA
76,670,VALLE DEL CAUCA,SAN PEDRO
17,1,CALDAS,MANIZALES
76,147,VALLE DEL CAUCA,CARTAGO
76,318,VALLE DEL CAUCA,GUACARÍ
76,1,VALLE DEL CAUCA,CALI
52,838,NARIÑO,TÚQUERRES
76,250,VALLE DEL CAUCA,EL DOVIO
5,659,ANTIOQUIA,SAN JUAN DE URABÁ
70,235,SUCRE,GALERAS
5,45,ANTIOQUIA,APARTADÓ
5,837,ANTIOQUIA,TURBO
50,689,META,SAN MARTÍN
47,980,MAGDALENA,ZONA BANANERA
23,807,CÓRDOBA,TIERRALTA
23,417,CÓRDOBA,LORICA
23,500,CÓRDOBA,MOÑITOS
8,1,ATLÁNTICO,BARRANQUILLA
13,1,BOLÍVAR,CARTAGENA DE INDIAS
41,1,HUILA,NEIVA
20,1,CESAR,VALLEDUPAR
73,1,TOLIMA,IBAGUÉ
8,573,ATLÁNTICO,PUERTO COLOMBIA
8,78,ATLÁNTICO,BARANOA
23,855,CÓRDOBA,VALENCIA
25,290,CUNDINAMARCA,FUSAGASUGÁ
25,279,CUNDINAMARCA,FÓMEQUE
25,841,CUNDINAMARCA,UBAQUE
25,126,CUNDINAMARCA,CAJICÁ
25,53,CUNDINAMARCA,ARBELÁEZ
25,40,CUNDINAMARCA,ANOLAIMA
25,769,CUNDINAMARCA,SUBACHOQUE
15,759,BOYACÁ,SOGAMOSO
15,696,BOYACÁ,SANTA SOFÍA
15,407,BOYACÁ,VILLA DE LEYVA
15,638,BOYACÁ,SÁCHICA
15,798,BOYACÁ,TENZA
15,238,BOYACÁ,DUITAMA
25,175,CUNDINAMARCA,CHÍA
15,599,BOYACÁ,RAMIRIQUÍ
15,367,BOYACÁ,JENESANO
25,426,CUNDINAMARCA,MACHETÁ
15,646,BOYACÁ,SAMACÁ
25,599,CUNDINAMARCA,APULO
25,873,CUNDINAMARCA,VILLAPINZÓN
15,814,BOYACÁ,TOCA
15,516,BOYACÁ,PAIPA
25,779,CUNDINAMARCA,SUSA
25,843,CUNDINAMARCA,VILLA DE SAN DIEGO DE UBATÉ
25,745,CUNDINAMARCA,SIMIJACA
15,776,BOYACÁ,SUTAMARCHÁN
25,183,CUNDINAMARCA,CHOCONTÁ
25,386,CUNDINAMARCA,LA MESA
25,815,CUNDINAMARCA,TOCAIMA
15,494,BOYACÁ,NUEVO COLÓN
68,755,SANTANDER,SOCORRO
41,551,HUILA,PITALITO
73,443,TOLIMA,SAN SEBASTIÁN DE MARIQUITA
73,319,TOLIMA,GUAMO
n.a.,n.a.,OTRO,PERÚ
85,440,CASANARE,VILLANUEVA
50,318,META,GUAMAL
15,835,BOYACÁ,TURMEQUÉ
25,322,CUNDINAMARCA,GUASCA
50,287,META,FUENTE DE ORO
73,411,TOLIMA,LÍBANO
50,6,META,ACACÍAS
50,577,META,PUERTO LLERAS
73,504,TOLIMA,ORTEGA
73,124,TOLIMA,CAJAMARCA
25,785,CUNDINAMARCA,TABIO
n.a.,n.a.,OTRO,ESPAÑA
41,20,HUILA,ALGECIRAS
25,817,CUNDINAMARCA,TOCANCIPÁ
50,711,META,VISTAHERMOSA
91,1,AMAZONAS,LETICIA
n.a.,n.a.,OTRO,VIETNAM
41,349,HUILA,HOBO
5,579,ANTIOQUIA,PUERTO BERRÍO
50,1,META,VILLAVICENCIO
47,245,MAGDALENA,EL BANCO
13,430,BOLÍVAR,MAGANGUÉ
n.a.,n.a.,OTRO,ARGENTINA
68,575,SANTANDER,PUERTO WILCHES
68,255,SANTANDER,EL PLAYÓN
81,736,ARAUCA,SARAVENA
68,190,SANTANDER,CIMITARRA
68,820,SANTANDER,TONA
54,174,NORTE DE SANTANDER,CHITAGÁ
68,162,SANTANDER,CERRITO
15,87,BOYACÁ,BELÉN
68,318,SANTANDER,GUACA
68,418,SANTANDER,LOS SANTOS
68,160,SANTANDER,CEPITÁ
68,615,SANTANDER,RIONEGRO
68,689,SANTANDER,SAN VICENTE DE CHUCURÍ
54,3,NORTE DE SANTANDER,ÁBREGO
15,51,BOYACÁ,ARCABUCO
5,1,ANTIOQUIA,MEDELLÍN
76,306,VALLE DEL CAUCA,GINEBRA
85,1,CASANARE,YOPAL
68,895,SANTANDER,ZAPATOCA
68,229,SANTANDER,CURITÍ
68,669,SANTANDER,SAN ANDRÉS
68,92,SANTANDER,BETULIA
68,679,SANTANDER,SAN GIL
68,444,SANTANDER,MATANZA
54,128,NORTE DE SANTANDER,CÁCHIRA
68,522,SANTANDER,PALMAR
68,432,SANTANDER,MÁLAGA
68,705,SANTANDER,SANTA BÁRBARA
54,480,NORTE DE SANTANDER,MUTISCUA
20,770,CESAR,SAN MARTÍN
76,892,VALLE DEL CAUCA,YUMBO
76,130,VALLE DEL CAUCA,CANDELARIA
76,233,VALLE DEL CAUCA,DAGUA
76,834,VALLE DEL CAUCA,TULUÁ
18,256,CAQUETÁ,EL PAUJÍL
76,616,VALLE DEL CAUCA,RIOFRÍO
19,532,CAUCA,PATÍA
76,111,VALLE DEL CAUCA,GUADALAJARA DE BUGA
76,248,VALLE DEL CAUCA,EL CERRITO
76,403,VALLE DEL CAUCA,LA VICTORIA
76,890,VALLE DEL CAUCA,YOTOCO
19,743,CAUCA,SILVIA
76,606,VALLE DEL CAUCA,RESTREPO
76,275,VALLE DEL CAUCA,FLORIDA
76,377,VALLE DEL CAUCA,LA CUMBRE
19,142,CAUCA,CALOTO
76,563,VALLE DEL CAUCA,PRADERA
19,513,CAUCA,PADILLA
52,1,NARIÑO,PASTO
19,137,CAUCA,CALDONO
76,126,VALLE DEL CAUCA,CALIMA
19,698,CAUCA,SANTANDER DE QUILICHAO
25,1,CUNDINAMARCA,AGUA DE DIOS
19,573,CAUCA,PUERTO TEJADA
66,88,RISARALDA,BELÉN DE UMBRÍA
17,42,CALDAS,ANSERMA
19,760,CAUCA,SOTARA
n.a.,n.a.,OTRO,CHILE
19,1,CAUCA,POPAYÁN
76,364,VALLE DEL CAUCA,JAMUNDÍ
68,207,SANTANDER,CONCEPCIÓN
54,1,NORTE DE SANTANDER,CÚCUTA
54,125,NORTE DE SANTANDER,CÁCOTA
54,720,NORTE DE SANTANDER,SARDINATA
54,599,NORTE DE SANTANDER,RAGONVALIA
54,261,NORTE DE SANTANDER,EL ZULIA
54,660,NORTE DE SANTANDER,SALAZAR
54,418,NORTE DE SANTANDER,LOURDES
54,810,NORTE DE SANTANDER,TIBÚ
54,520,NORTE DE SANTANDER,PAMPLONITA
54,518,NORTE DE SANTANDER,PAMPLONA
54,871,NORTE DE SANTANDER,VILLA CARO
54,820,NORTE DE SANTANDER,TOLEDO
54,874,NORTE DE SANTANDER,VILLA DEL ROSARIO
15,104,BOYACÁ,BOYACÁ
54,553,NORTE DE SANTANDER,PUERTO SANTANDER
54,51,NORTE DE SANTANDER,ARBOLEDAS
54,172,NORTE DE SANTANDER,CHINÁCOTA
5,697,ANTIOQUIA,EL SANTUARIO
5,440,ANTIOQUIA,MARINILLA
5,615,ANTIOQUIA,RIONEGRO
5,756,ANTIOQUIA,SONSÓN
5,674,ANTIOQUIA,SAN VICENTE FERRER
5,79,ANTIOQUIA,BARBOSA
5,541,ANTIOQUIA,PEÑOL
17,174,CALDAS,CHINCHINÁ
5,148,ANTIOQUIA,EL CARMEN DE VIBORAL
5,887,ANTIOQUIA,YARUMAL
5,376,ANTIOQUIA,LA CEJA
17,13,CALDAS,AGUADAS
66,594,RISARALDA,QUINCHÍA
66,682,RISARALDA,SANTA ROSA DE CABAL
5,36,ANTIOQUIA,ANGELÓPOLIS
5,679,ANTIOQUIA,SANTA BÁRBARA
5,282,ANTIOQUIA,FREDONIA
17,614,CALDAS,RIOSUCIO
5,400,ANTIOQUIA,LA UNIÓN
5,847,ANTIOQUIA,URRAO
17,88,CALDAS,BELALCÁZAR
5,234,ANTIOQUIA,DABEIBA
5,101,ANTIOQUIA,CIUDAD BOLÍVAR
5,664,ANTIOQUIA,SAN PEDRO DE LOS MILAGROS
5,172,ANTIOQUIA,CHIGORODÓ
5,206,ANTIOQUIA,CONCEPCIÓN
5,360,ANTIOQUIA,ITAGÜÍ
5,480,ANTIOQUIA,MUTATÁ
5,34,ANTIOQUIA,ANDES
17,524,CALDAS,PALESTINA
n.a.,n.a.,OTRO,ESTADOS UNIDOS
23,162,CÓRDOBA,CERETÉ
52,683,NARIÑO,SANDONÁ
5,190,ANTIOQUIA,CISNEROS
5,890,ANTIOQUIA,YOLOMBÓ
76,895,VALLE DEL CAUCA,ZARZAL
76,113,VALLE DEL CAUCA,BUGALAGRANDE
5,88,ANTIOQUIA,BELLO
5,266,ANTIOQUIA,ENVIGADO
5,411,ANTIOQUIA,LIBORINA
5,380,ANTIOQUIA,LA ESTRELLA
5,631,ANTIOQUIA,SABANETA
5,30,ANTIOQUIA,AMAGÁ
5,665,ANTIOQUIA,SAN PEDRO DE URABÁ
5,313,ANTIOQUIA,GRANADA
n.a.,n.a.,OTRO,VENEZUELA
76,36,VALLE DEL CAUCA,ANDALUCÍA
5,318,ANTIOQUIA,GUARNE
5,197,ANTIOQUIA,COCORNÁ
66,318,RISARALDA,GUÁTICA
66,440,RISARALDA,MARSELLA
66,687,RISARALDA,SANTUARIO
66,45,RISARALDA,APÍA
50,223,META,CUBARRAL
63,272,QUINDÍO,FILANDIA
25,649,CUNDINAMARCA,SAN BERNARDO
25,506,CUNDINAMARCA,VENECIA
25,758,CUNDINAMARCA,SOPÓ
73,352,TOLIMA,ICONONZO
25,524,CUNDINAMARCA,PANDI
15,299,BOYACÁ,GARAGOA
41,298,HUILA,GARZÓN
15,804,BOYACÁ,TIBANÁ
50,606,META,RESTREPO
73,168,TOLIMA,CHAPARRAL
25,326,CUNDINAMARCA,GUATAVITA
15,204,BOYACÁ,CÓMBITA
25,377,CUNDINAMARCA,LA CALERA
15,740,BOYACÁ,SIACHOQUE
41,770,HUILA,SUAZA
25,793,CUNDINAMARCA,TAUSA
68,324,SANTANDER,GUAVATÁ
5,59,ANTIOQUIA,ARMENIA
68,377,SANTANDER,LA BELLEZA
5,670,ANTIOQUIA,SAN ROQUE
68,152,SANTANDER,CARCASÍ
68,464,SANTANDER,MOGOTES
17,380,CALDAS,LA DORADA
19,845,CAUCA,VILLA RICA
18,1,CAQUETÁ,FLORENCIA
66,400,RISARALDA,LA VIRGINIA
17,877,CALDAS,VITERBO
52,399,NARIÑO,LA UNIÓN
54,99,NORTE DE SANTANDER,BOCHALEMA
68,147,SANTANDER,CAPITANEJO
54,239,NORTE DE SANTANDER,DURANIA
15,810,BOYACÁ,TIPACOQUE
54,405,NORTE DE SANTANDER,LOS PATIOS
54,223,NORTE DE SANTANDER,CUCUTILLA
54,109,NORTE DE SANTANDER,BUCARASICA
52,260,NARIÑO,EL TAMBO
5,861,ANTIOQUIA,VENECIA
5,789,ANTIOQUIA,TÁMESIS
5,368,ANTIOQUIA,JERICÓ
17,388,CALDAS,LA MERCED
5,467,ANTIOQUIA,MONTEBELLO
5,364,ANTIOQUIA,JARDÍN
76,622,VALLE DEL CAUCA,ROLDANILLO
5,856,ANTIOQUIA,VALPARAÍSO
5,390,ANTIOQUIA,LA PINTADA
5,761,ANTIOQUIA,SOPETRÁN
76,109,VALLE DEL CAUCA,BUENAVENTURA
5,209,ANTIOQUIA,CONCORDIA
17,513,CALDAS,PÁCORA
5,308,ANTIOQUIA,GIRARDOTA
17,777,CALDAS,SUPÍA
5,91,ANTIOQUIA,BETANIA
n.a.,n.a.,OTRO,CHINA
5,240,ANTIOQUIA,EBÉJICO
5,284,ANTIOQUIA,FRONTINO
5,576,ANTIOQUIA,PUEBLORRICO
73,283,TOLIMA,FRESNO
25,878,CUNDINAMARCA,VIOTÁ
70,742,SUCRE,SAN LUIS DE SINCÉ
13,442,BOLÍVAR,MARÍA LA BAJA
47,605,MAGDALENA,REMOLINO
70,708,SUCRE,SAN MARCOS
44,1,LA GUAJIRA,RIOHACHA
47,53,MAGDALENA,ARACATACA
20,238,CESAR,EL COPEY
13,244,BOLÍVAR,EL CARMEN DE BOLÍVAR
8,638,ATLÁNTICO,SABANALARGA
8,520,ATLÁNTICO,PALMAR DE VARELA
70,418,SUCRE,LOS PALMITOS
47,551,MAGDALENA,PIVIJAY
70,702,SUCRE,SAN JUAN DE BETULIA
13,140,BOLÍVAR,CALAMAR
47,170,MAGDALENA,CHIVOLO
70,215,SUCRE,COROZAL
8,770,ATLÁNTICO,SUAN
70,1,SUCRE,SINCELEJO
8,433,ATLÁNTICO,MALAMBO
8,758,ATLÁNTICO,SOLEDAD
8,634,ATLÁNTICO,SABANAGRANDE
8,296,ATLÁNTICO,GALAPA
50,590,META,PUERTO RICO
15,842,BOYACÁ,ÚMBITA
68,276,SANTANDER,FLORIDABLANCA
18,753,CAQUETÁ,SAN VICENTE DEL CAGUÁN
52,215,NARIÑO,CÓRDOBA
52,317,NARIÑO,GUACHUCAL
76,828,VALLE DEL CAUCA,TRUJILLO
19,212,CAUCA,CORINTO
19,455,CAUCA,MIRANDA
52,694,NARIÑO,SAN PEDRO DE CARTAGO
19,450,CAUCA,MERCADERES
52,685,NARIÑO,SAN BERNARDO
54,680,NORTE DE SANTANDER,SANTIAGO
54,313,NORTE DE SANTANDER,GRAMALOTE
68,686,SANTANDER,SAN MIGUEL
66,75,RISARALDA,BALBOA
25,335,CUNDINAMARCA,GUAYABETAL
63,190,QUINDÍO,CIRCASIA
47,318,MAGDALENA,GUAMAL
20,32,CESAR,ASTREA
20,228,CESAR,CURUMANÍ
20,175,CESAR,CHIMICHAGUA
44,430,LA GUAJIRA,MAICAO
23,574,CÓRDOBA,PUERTO ESCONDIDO
70,508,SUCRE,OVEJAS
15,322,BOYACÁ,GUATEQUE
25,645,CUNDINAMARCA,SAN ANTONIO DEL TEQUENDAMA
15,22,BOYACÁ,ALMEIDA
15,822,BOYACÁ,TOTA
15,380,BOYACÁ,LA CAPILLA
25,436,CUNDINAMARCA,MANTA
15,600,BOYACÁ,RÁQUIRA
15,808,BOYACÁ,TINJACÁ
15,106,BOYACÁ,BRICEÑO
15,762,BOYACÁ,SORA
15,183,BOYACÁ,CHITA
25,772,CUNDINAMARCA,SUESCA
73,461,TOLIMA,MURILLO
73,686,TOLIMA,SANTA ISABEL
25,407,CUNDINAMARCA,LENGUAZAQUE
73,275,TOLIMA,FLANDES
25,797,CUNDINAMARCA,TENA
15,109,BOYACÁ,BUENAVISTA
25,596,CUNDINAMARCA,QUIPILE
41,306,HUILA,GIGANTE
85,10,CASANARE,AGUAZUL
41,615,HUILA,RIVERA
25,662,CUNDINAMARCA,SAN JUAN DE RIOSECO
41,206,HUILA,COLOMBIA
41,357,HUILA,ÍQUIRA
50,370,META,URIBE
25,120,CUNDINAMARCA,CABRERA
n.a.,n.a.,OTRO,CANADÁ
73,861,TOLIMA,VENADILLO
50,568,META,PUERTO GAITÁN
68,179,SANTANDER,CHIPATÁ
25,875,CUNDINAMARCA,VILLETA
25,148,CUNDINAMARCA,CAPARRAPÍ
25,339,CUNDINAMARCA,GUTIÉRREZ
68,81,SANTANDER,BARRANCABERMEJA
68,77,SANTANDER,BARBOSA
20,710,CESAR,SAN ALBERTO
68,235,SANTANDER,EL CARMEN DE CHUCURÍ
20,550,CESAR,PELAYA
68,468,SANTANDER,MOLAGAVITA
52,786,NARIÑO,TAMINANGO
52,254,NARIÑO,EL PEÑOL
19,473,CAUCA,MORALES
54,377,NORTE DE SANTANDER,LABATECA
15,180,BOYACÁ,CHISCAS
15,686,BOYACÁ,SANTANA
5,138,ANTIOQUIA,CAÑASGORDAS
5,86,ANTIOQUIA,BELMIRA
n.a.,n.a.,OTRO,ITALIA
23,660,CÓRDOBA,SAHAGÚN
n.a.,n.a.,OTRO,MÉXICO
20,11,CESAR,AGUACHICA
5,490,ANTIOQUIA,NECOCLÍ
66,170,RISARALDA,DOSQUEBRADAS
5,885,ANTIOQUIA,YALÍ
5,134,ANTIOQUIA,CAMPAMENTO
5,31,ANTIOQUIA,AMALFI
